PATHWAY;FREQUENCY;GENES
ath00561;32;"1.1.1.2;1.2.1.3;2.3.1.15;2.3.1.158;2.3.1.20;2.3.1.51;2.4.1.184;2.4.1.241;2.4.1.46;2.7.1.31;2.7.7.9;3.1.1.23;3.1.1.3;3.1.3.4;3.1.3.81;3.13.1.1;3.2.1.22;DGK2;GLPK;R01012;R01036;R01039;R01047;R01350;R03119;R03468;R03755;R04377;R04471;R04473;R04474;R11080"
ath00900;31;"1.1.1.267;1.1.1.34;1.1.1.354;1.17.7.4;1.8.3.5;2.1.1.100;2.2.1.7;2.3.1.9;2.3.3.10;2.5.1.1;2.5.1.58;2.5.1.87;2.7.1.148;2.7.1.216;2.7.1.36;2.7.4.2;2.7.7.60;3.4.24.84;4.1.1.33;4.6.1.12;5.3.3.2;ISPG;R03917;R09249;R09562;R09730;R09850;R10779;R10780;R10859;SPS1"
ath00030;31;"1.1.1.44;1.1.1.49;1.2.1.9;2.2.1.1;2.2.1.2;2.7.1.11;2.7.1.15;2.7.1.90;2.7.6.1;3.1.3.11;4.1.2.13;5.1.3.1;5.4.2.2;6PGL3;G6PI;R01066;R01522;R01544;R01741;R02749;R06620;R06836;R07147;R09084;R10221;R10324;R10407;R10408;R10615;R10907;RIP"
ath00906;30;"1.1.1.288;1.13.11.68;1.13.11.69;1.14.14.137;1.14.15.24;1.14.99.45;1.2.3.14;1.23.5.1;1.3.5.6;5.2.1.12;5.2.1.13;5.5.1.18;5.5.1.19;NCED3;PDS;PSY;R07320;R07321;R07516;R07541;R07543;R07574;R07653;R07654;R07857;R07858;R09671;R09746;R09793;ZEP"
ath00910;30;"1.4.1.14;1.4.1.3;1.4.1.4;1.4.7.1;1.7.7.1;3.5.1.49;4.2.1.104;6.3.1.2;BCA4;R00114;R00143;R00148;R00243;R00294;R00783;R00787;R00791;R00792;R00794;R01395;R02492;R02804;R05186;R05712;R07174;R09497;R09799;R10164;R10388;R12084"
ath00400;29;"1.3.1.78;2.4.2.18;2.5.1.19;2.5.1.54;2.6.1.5;2.6.1.9;2.7.1.71;4.1.1.48;4.2.1.10;4.2.1.91;4.2.3.4;4.2.3.5;AAT3;CM3;PAI1;R00689;R00691;R01730;R01872;R01873;R02415;R07276;R09254;R09830;R10050;R10583;R10597;TRPA2;TRPE"
ath00970;29;"2.1.2.9;6.1.1.1;6.1.1.10;6.1.1.11;6.1.1.14;6.1.1.15;6.1.1.16;6.1.1.17;6.1.1.18;6.1.1.19;6.1.1.2;6.1.1.20;6.1.1.21;6.1.1.22;6.1.1.3;6.1.1.4;6.1.1.5;6.1.1.6;6.1.1.7;6.1.1.9;6.3.5.6;OVA2;R03647;R05577;R08219;R08223;R08224;R08576;R08577;SYDC2"
ath00053;28;"1.1.1.22;1.1.1.316;1.1.3.8;1.10.3.3;1.13.99.1;1.2.1.3;1.3.2.3;1.6.5.4;1.8.5.1;2.7.1.43;2.7.7.64;5.1.3.18;APX1;GGAP1;R00264;R00643;R01784;R02637;R02754;R03183;R03277;R05608;R07127;R08056;R08615;R10841;R10846;R10847"
ath00410;26;"1.2.1.18;1.2.1.3;1.3.1.2;1.3.8.7;1.4.3.21;1.5.3.16;1.5.3.17;2.5.1.16;3.5.1.6;3.5.2.2;4.1.1.15;4.1.1.9;6.3.2.1;HIBC1;PAO1;R00743;R00904;R00909;R00910;R00911;R00912;R01164;R01604;R02549;R03286;R03935"
ath00770;25;"1.1.1.86;1.3.1.2;2.1.2.11;2.6.1.42;2.7.1.24;2.7.1.33;3.5.1.6;3.5.2.2;4.1.1.36;4.2.1.9;6.3.2.1;6.3.2.51;COAD;ILVB;R01211;R01623;R01625;R02471;R02474;R02971;R02972;R02973;R03036;R03198;R04231"
ath00071;25;"1.14.14.80;1.2.1.3;1.3.8.7;2.3.1.9;ACOX4;ADH1;LACS7;MFP2;R00639;R01279;R01347;R01406;R01704;R01923;R02000;R02281;R02462;R02487;R03777;R03857;R03990;R04121;R04754;R10912;THIK2"
ath00942;25;"2.4.1.298;R06535;R06536;R06545;R06799;R06800;R06801;R06817;R07876;R07877;R07878;R07879;R07910;R07912;R07913;R07914;R07932;R07938;R09635;R10259;R10261;R10296;R10297;R10298;R10299"
ath00340;24;"1.1.1.23;1.2.1.3;2.1.1.22;2.4.2.17;2.6.1.9;3.6.1.31;4.1.1.22;4.2.1.19;4.3.2.10;5.3.1.16;R01161;R01169;R02150;R02155;R02286;R04066;R04068;R04674;R04996;R10330;R11013;R11014;R11021;R11023"
ath00790;23;"1.5.1.3;2.10.1.1;2.6.1.85;2.7.6.3;3.1.3.1;3.4.19.9;3.5.4.16;4.1.2.25;4.1.3.38;4.1.99.22;6.3.2.12;6.3.2.17;MOCOS;R03984;R07213;R10339;R11019;R11037;R11073;R11082;R11102;R11582;R11718"
ath00510;23;"2.4.1.101;2.4.1.117;2.4.1.131;2.4.1.132;2.4.1.141;2.4.1.142;2.4.1.143;2.4.1.144;2.4.1.256;2.4.1.258;2.4.1.259;2.4.1.260;2.4.1.265;2.4.1.267;2.4.1.83;2.7.1.108;2.7.8.15;3.2.1.106;3.2.1.113;3.6.1.43;GMAN2;R01006;STT3A"
ath00600;22;"1.1.1.102;1.14.18.5;1.14.19.17;2.3.1.50;2.7.1.138;2.7.1.91;3.2.1.22;3.2.1.23;3.2.1.45;4.1.2.27;NCER1;R01928;R01929;R02541;R02542;R03617;R04018;R04856;R06520;R06521;R06522;R08969"
ath00280;22;"1.1.1.31;1.2.1.3;1.2.4.4;1.3.8.7;1.8.1.4;2.3.1.168;2.3.1.9;2.3.3.10;2.6.1.42;4.1.3.4;4.2.1.18;6.4.1.4;HIBC1;IVD;R00922;R02050;R03871;R04137;R04187;R04188;R07160;THIK2"
ath00710;22;"1.1.1.39;1.1.1.40;1.1.1.82;1.2.1.12;1.2.1.13;2.2.1.1;2.6.1.2;2.7.9.1;3.1.3.11;4.1.1.31;4.1.2.13;5.1.3.1;5.3.1.1;AAT3;KPPR;MDHM1;PCKA;PGKH2;R00761;R01844;RIP;S17P"
